path,class
mit-states/images/adj apple/09_08_14---Fruit-Apple_web.jpg,adj apple
mit-states/images/adj apple/1282852892989866508apple-grn.jpg,adj apple
mit-states/images/adj apple/1345459297_apple_red_delicious.jpg,adj apple
mit-states/images/adj apple/1345459717_goldenApple.jpg,adj apple
mit-states/images/adj apple/139865_1.jpg,adj apple
mit-states/images/adj apple/8.jpg,adj apple
mit-states/images/adj apple/Apple70753.jpg,adj apple
mit-states/images/adj apple/Apples.jpg,adj apple
mit-states/images/adj apple/Big_red_apple.jpg,adj apple
mit-states/images/adj apple/Fuji-Dry1.jpg,adj apple
mit-states/images/adj apple/Fuji_apple.jpg,adj apple
mit-states/images/adj apple/GoldenDelicious__39861.jpg,adj apple
mit-states/images/adj apple/Honeycrisp-Apple.jpg,adj apple
mit-states/images/adj apple/POL_apple.jpg,adj apple
mit-states/images/adj apple/Red_Apple.jpg,adj apple
mit-states/images/adj apple/apple%20with%20heart.jpg,adj apple
mit-states/images/adj apple/apple.jpg,adj apple
mit-states/images/adj apple/apple_001.jpg,adj apple
mit-states/images/adj apple/apple_2312343b.jpg,adj apple
mit-states/images/adj apple/apple_8.jpg,adj apple
mit-states/images/adj apple/apple_bite2.jpg,adj apple
mit-states/images/adj apple/apples1.jpg,adj apple
mit-states/images/adj apple/eating-apples-extended-lifespan-test-animals-10-per-cent_183.jpg,adj apple
mit-states/images/adj apple/free-photo-apple-853.jpg,adj apple
mit-states/images/adj apple/gala-apple.jpg,adj apple
mit-states/images/adj apple/maca_apple_vector.jpg,adj apple
mit-states/images/adj apple/organic-three-red-apple-backgrounds-powerpoint.jpg,adj apple
mit-states/images/caramelized apple/6317413161_65d4749aff_z.jpg,caramelized apple
mit-states/images/caramelized apple/6317934062_759eef8a06_z.jpg,caramelized apple
mit-states/images/caramelized apple/7975267930_b7601ef5e9_z.jpg,caramelized apple
mit-states/images/caramelized apple/Apple%2BBread%2BMain.jpg,caramelized apple
mit-states/images/caramelized apple/Apple%2BBread%2BWide.jpg,caramelized apple
mit-states/images/caramelized apple/Brown-Butter-Caramelized-Apple-Crisp-Bars-w-Pecan-Streusel-+-Mascarpone-Maple-Glaze.-111.jpg,caramelized apple
mit-states/images/caramelized apple/Caramelized-Apple-Waffle-Pastries.jpg,caramelized apple
